original_ingredient,original_role,substitute_ingredient,substitute_role,swap_ratio,functional_role,constraints,notes,heat_adjustment
butter,fat,coconut oil,fat,1.0,fat,vegan; vegetarian; gluten-free; dairy-free; keto; paleo; whole30; low-sodium; low-sugar; kosher; nut-free,1:1 ratio by weight; similar consistency; adds subtle coconut flavor (use refined oil for neutral taste),
butter,fat,olive oil,fat,0.75,fat,vegan; vegetarian; gluten-free; dairy-free; keto; paleo; whole30; low-sodium; low-sugar; kosher; nut-free,Use 3/4 cup per 1 cup butter; lighter texture; not ideal for pastries; use for savory only,reduce_by_10%
butter,fat,applesauce,fat,1.0,fat,vegan; vegetarian; gluten-free; dairy-free; keto; paleo; whole30; low-sodium; low-sugar; kosher; nut-free,1:1 by volume; adds moisture and reduces fat by ~50%; texture changes significantly; good for cakes/brownies only,increase_by_5%
butter,fat,aquafaba,fat,0.5,fat,vegan; vegetarian; gluten-free; dairy-free; keto; paleo; whole30; low-sodium; low-sugar; kosher; nut-free,Use 3 tbsp per 1 cup butter; technically a binder not fat; whips well for meringues; not suitable for pastry doughs,
cream,fat,coconut milk,fat,1.0,fat,vegan; vegetarian; gluten-free; dairy-free; keto; paleo; whole30; low-sodium; low-sugar; kosher; nut-free,richer flavor; works in sauces and desserts,
milk,liquid,almond milk,liquid,1.0,liquid,vegan; vegetarian; gluten-free; dairy-free; keto; paleo; whole30; low-sodium; low-sugar; kosher; nut-free,slightly thinner; may need thickener in custards,
milk,liquid,oat milk,liquid,1.0,liquid,vegan; vegetarian; gluten-free; dairy-free; keto; paleo; whole30; low-sodium; low-sugar; kosher; nut-free,creamier; good for baking and coffee,
milk,liquid,soy milk,liquid,1.0,liquid,vegan; vegetarian; gluten-free; dairy-free; keto; paleo; whole30; low-sodium; low-sugar; kosher; nut-free,protein-rich; works well in baking,
cheese,protein,nutritional yeast,flavoring,0.25,flavoring,vegan; vegetarian; gluten-free; dairy-free; keto; paleo; whole30; low-sodium; low-sugar; kosher; nut-free,NOT a protein substitute (use legumes instead); 2 tbsp nutritional yeast ≈ 1 oz cheese flavor; only for umami/flavor replacement,
egg,protein,flax egg,protein,1.0,protein,vegan; vegetarian; gluten-free; dairy-free; keto; paleo; whole30; low-sodium; low-sugar; kosher; nut-free,"Binding agent only: 1 tbsp ground flax + 3 tbsp water = 1 egg; stands 5 min; works best in cakes/brownies; poor in custards",
eggs,protein,flax eggs,protein,1.0,protein,vegan; vegetarian; gluten-free; dairy-free; keto; paleo; whole30; low-sodium; low-sugar; kosher; nut-free,"Binding agent only: 1 tbsp ground flax + 3 tbsp water = 1 egg; stands 5 min; works best in cakes/brownies; poor in custards",
